abs(l) < 23.1 deg
b   deltab  flux (cm2/s/sr) uncert
-7.504e+01 1.496e+01 3.515e-03 8.935e-03
-4.489e+01 1.484e+01 5.320e-03 5.320e-03
-2.728e+01 2.502e+00 1.928e-02 1.305e-02
-2.186e+01 2.919e+00 3.410e-03 1.225e-02
-1.664e+01 2.293e+00 3.410e-03 1.004e-02
-1.296e+01 1.251e+00 4.659e-02 1.788e-02
-1.039e+01 1.112e+00 1.506e-02 1.827e-02
-7.748e+00 1.251e+00 3.163e-02 1.697e-02
-5.177e+00 1.251e+00 4.307e-02 1.697e-02
-2.571e+00 1.216e+00 4.046e-02 1.536e-02
6.949e-02 1.216e+00 1.041e-01 1.516e-02
2.675e+00 1.181e+00 8.635e-02 1.566e-02
5.177e+00 1.181e+00 1.336e-02 1.616e-02
7.748e+00 1.320e+00 1.486e-02 1.687e-02
1.046e+01 1.181e+00 2.992e-02 1.787e-02
1.303e+01 1.181e+00 4.120e-03 1.757e-02
1.692e+01 2.502e+00 1.807e-02 9.840e-03
2.210e+01 2.536e+00 0.000e+00 1.124e-02
2.735e+01 2.432e+00 2.269e-02 1.145e-02
4.500e+01 1.487e+01 1.055e-02 3.915e-03
7.511e+01 1.489e+01 2.405e-03 3.815e-03
