abs(l) < 23.1 deg
b   deltab  flux (cm2/s/sr) uncert
-7.507e+01 1.493e+01 7.510e-03 6.320e-03
-4.490e+01 1.482e+01 2.155e-02 3.755e-03
-2.728e+01 2.533e+00 7.608e-02 8.105e-03
-2.211e+01 2.498e+00 3.122e-02 7.115e-03
-1.297e+01 1.232e+00 5.573e-02 1.028e-02
-1.670e+01 2.293e+00 1.147e-02 5.535e-03
-1.034e+01 1.266e+00 6.284e-02 1.028e-02
-7.769e+00 1.232e+00 6.166e-02 9.880e-03
-5.168e+00 1.232e+00 1.006e-01 9.685e-03
-2.567e+00 1.232e+00 1.103e-01 1.068e-02
0.000e+00 1.129e+00 2.783e-01 1.739e-02
2.601e+00 1.198e+00 1.326e-01 1.126e-02
5.168e+00 1.232e+00 7.233e-02 9.090e-03
7.803e+00 1.266e+00 6.442e-02 1.028e-02
1.044e+01 1.232e+00 7.925e-02 1.008e-02
1.304e+01 1.232e+00 1.087e-02 1.087e-02
1.694e+01 2.533e+00 2.905e-02 5.730e-03
2.214e+01 2.533e+00 3.222e-02 6.915e-03
2.731e+01 2.567e+00 4.328e-02 6.920e-03
4.490e+01 1.496e+01 1.878e-02 3.355e-03
7.510e+01 1.490e+01 3.950e-03 2.370e-03
