abs(l) < 23.1 deg
b   deltab  flux (cm2/s/sr) uncert
-7.498e+01 1.502e+01 7.180e-03 8.740e-03
-4.488e+01 1.495e+01 1.187e-02 5.050e-03
-2.723e+01 2.491e+00 3.206e-02 1.173e-02
-2.204e+01 2.561e+00 2.545e-02 1.081e-02
-1.692e+01 2.630e+00 5.700e-04 8.960e-03
-1.298e+01 1.176e+00 1.869e-02 1.542e-02
-1.045e+01 1.280e+00 2.957e-02 1.535e-02
-7.785e+00 1.315e+00 1.649e-02 1.465e-02
-5.156e+00 1.246e+00 3.384e-02 1.393e-02
-2.630e+00 1.142e+00 1.947e-02 1.536e-02
3.460e-02 1.176e+00 5.432e-02 2.133e-02
2.561e+00 1.280e+00 3.256e-02 1.592e-02
5.190e+00 1.280e+00 2.490e-03 1.386e-02
7.820e+00 1.280e+00 3.782e-02 1.436e-02
1.038e+01 1.211e+00 2.403e-02 1.507e-02
1.287e+01 1.073e+00 5.045e-03 1.471e-02
1.689e+01 2.595e+00 1.684e-02 8.885e-03
2.204e+01 2.561e+00 8.745e-03 1.017e-02
2.730e+01 2.491e+00 2.055e-02 1.002e-02
4.491e+01 1.484e+01 8.815e-03 4.265e-03
7.512e+01 1.488e+01 8.550e-04 3.695e-03
